servicio_id,reserva_id,tipo_comida,precio
2,1,BB,30.0
2,2,BB,30.0
2,3,BB,30.0
2,4,BB,30.0
2,5,BB,30.0
2,6,BB,30.0
2,7,BB,30.0
2,8,FB,70.0
2,9,BB,30.0
2,10,HB,50.0
2,11,BB,30.0
2,12,HB,50.0
2,13,BB,30.0
2,14,HB,50.0
2,15,BB,30.0
2,16,BB,30.0
2,17,BB,30.0
2,18,BB,30.0
2,19,BB,30.0
2,20,BB,30.0
2,21,BB,30.0
2,22,BB,30.0
2,23,BB,30.0
2,24,BB,30.0
2,25,HB,50.0
2,26,BB,30.0
2,27,BB,30.0
2,28,BB,30.0
2,29,BB,30.0
2,30,BB,30.0
2,31,BB,30.0
2,32,BB,30.0
2,33,BB,30.0
2,34,BB,30.0
2,35,BB,30.0
2,36,BB,30.0
2,37,BB,30.0
2,38,BB,30.0
2,39,BB,30.0
2,40,HB,50.0
2,41,BB,30.0
2,42,BB,30.0
2,43,BB,30.0
2,44,HB,50.0
2,45,BB,30.0
2,46,BB,30.0
2,47,BB,30.0
2,48,BB,30.0
2,49,HB,50.0
2,50,HB,50.0
2,51,BB,30.0
2,52,BB,30.0
2,53,BB,30.0
2,54,BB,30.0
2,55,BB,30.0
2,56,BB,30.0
2,57,BB,30.0
2,58,BB,30.0
2,59,BB,30.0
2,60,BB,30.0
2,61,BB,30.0
2,62,BB,30.0
2,63,BB,30.0
2,64,BB,30.0
2,65,HB,50.0
2,66,BB,30.0
2,67,BB,30.0
2,68,BB,30.0
2,69,BB,30.0
2,70,BB,30.0
2,71,BB,30.0
2,72,BB,30.0
2,73,HB,50.0
2,74,BB,30.0
2,75,BB,30.0
2,76,BB,30.0
2,77,BB,30.0
2,78,BB,30.0
2,79,BB,30.0
2,80,BB,30.0
2,81,BB,30.0
2,82,BB,30.0
2,83,BB,30.0
2,84,HB,50.0
2,85,HB,50.0
2,86,HB,50.0
2,87,BB,30.0
2,88,BB,30.0
2,89,BB,30.0
2,90,BB,30.0
2,91,BB,30.0
2,92,BB,30.0
2,93,BB,30.0
2,94,BB,30.0
2,95,BB,30.0
2,96,BB,30.0
2,97,BB,30.0
2,98,HB,50.0
2,99,BB,30.0
2,100,BB,30.0
2,101,BB,30.0
2,102,BB,30.0
2,103,BB,30.0
2,104,BB,30.0
2,105,BB,30.0
2,106,BB,30.0
2,107,HB,50.0
2,108,BB,30.0
2,109,BB,30.0
2,110,BB,30.0
2,111,BB,30.0
2,112,HB,50.0
2,113,BB,30.0
2,114,BB,30.0
2,115,BB,30.0
2,116,BB,30.0
2,117,BB,30.0
2,118,BB,30.0
2,119,HB,50.0
2,120,BB,30.0
2,121,BB,30.0
2,122,HB,50.0
2,123,BB,30.0
2,124,BB,30.0
2,125,BB,30.0
2,126,FB,70.0
